1,2,3
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.89,32.11
50.0,49.89,32.06
50.0,49.91,32.09
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.91,32.07
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.87,32.05
50.0,49.87,32.06
50.0,49.87,32.06
50.0,49.89,32.06
50.0,49.91,32.06
50.0,49.91,32.07
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.91,32.11
50.0,49.94,32.11
50.0,49.94,32.08
50.0,49.96,32.13
50.0,49.96,32.1
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.96,32.15
50.0,49.94,32.15
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.96,32.13
50.0,49.94,32.1
50.0,49.94,32.08
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.94,32.13
50.0,49.91,32.13
50.0,49.94,32.07
50.0,49.94,32.08
